"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 01 09:14:59 GMT 2025","Fri Aug 01 09:15:01 GMT 2025","1747","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Aug 01 09:14:57 GMT 2025","Fri Aug 01 09:14:58 GMT 2025","1484","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 01 09:15:03 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","2808","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Aug 01 09:14:53 GMT 2025","Fri Aug 01 09:14:55 GMT 2025","1976","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 01 09:15:05 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Fri Aug 01 09:14:57 GMT 2025","Fri Aug 01 09:14:59 GMT 2025","1330","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Aug 01 09:15:05 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Aug 01 09:15:02 GMT 2025","Fri Aug 01 09:15:04 GMT 2025","2497","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Aug 01 09:14:53 GMT 2025","Fri Aug 01 09:14:56 GMT 2025","3487","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Aug 01 09:15:05 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Fri Aug 01 09:15:00 GMT 2025","Fri Aug 01 09:15:02 GMT 2025","1615","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Aug 01 09:15:05 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Fri Aug 01 09:15:05 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Aug 01 09:15:05 GMT 2025","Fri Aug 01 09:15:05 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Aug 01 09:14:55 GMT 2025","Fri Aug 01 09:14:57 GMT 2025","1759","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 01 09:15:06 GMT 2025","Fri Aug 01 09:15:07 GMT 2025","1510","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
